Nome do Produto,Categoria do Produto,Preço do Produto (R$),Quantidade em Estoque,Filial,Data da Venda
Delineador líquido,Eletrônicos,71.1,84,Filial 10,Valor Indisponível
Base líquida,Roupas,76.89,87,Filial 2,Valor Indisponível
Pó compacto,Eletrodomésticos,19.72,79,Filial 7,Valor Indisponível
Máscara de cílios,Eletrodomésticos,87.63,30,Filial 7,Valor Indisponível
Máscara de cílios,Alimentos,46.84,79,Filial 6,Valor Indisponível
Sombra de olhos,Eletrodomésticos,41.9,55,Filial 3,Valor Indisponível
Delineador líquido,Eletrônicos,21.81,79,Filial 3,Valor Indisponível
Delineador líquido,Eletrodomésticos,13.67,1,Filial 1,Valor Indisponível
Máscara de cílios,Eletrodomésticos,30.13,21,Filial 8,Valor Indisponível
Sombra de olhos,Eletrônicos,2.67,42,Filial 9,Valor Indisponível
Batom matte,Eletrônicos,63.19,42,Filial 10,Valor Indisponível
Máscara de cílios,Roupas,50.78,61,Filial 10,Valor Indisponível
Pó compacto,Alimentos,74.63,94,Filial 8,Valor Indisponível
Corretivo,Roupas,46.56,75,Filial 6,Valor Indisponível
Blush em pó,Eletrônicos,57.78,49,Filial 5,Valor Indisponível
Delineador líquido,Eletrodomésticos,66.04,52,Filial 9,Valor Indisponível
Delineador líquido,Eletrônicos,28.44,74,Filial 10,Valor Indisponível
Base líquida,Alimentos,29.67,40,Filial 10,Valor Indisponível
Delineador líquido,Eletrodomésticos,30.88,88,Filial 10,Valor Indisponível
Corretivo,Eletrodomésticos,79.88,6,Filial 4,Valor Indisponível
Máscara de cílios,Eletrônicos,46.03,49,Filial 8,Valor Indisponível
Batom matte,Eletrodomésticos,50.95,94,Filial 6,Valor Indisponível
Pó compacto,Eletrodomésticos,46.7,100,Filial 2,Valor Indisponível
Base líquida,Eletrônicos,98.28,18,Filial 1,Valor Indisponível
Batom líquido,Roupas,76.26,3,Filial 9,Valor Indisponível
Corretivo,Alimentos,54.2,68,Filial 4,Valor Indisponível
Blush em pó,Eletrodomésticos,51.86,70,Filial 1,Valor Indisponível
Base líquida,Eletrodomésticos,99.15,55,Filial 6,Valor Indisponível
Blush em pó,Roupas,4.08,100,Filial 4,Valor Indisponível
Pó compacto,Alimentos,7.18,13,Filial 3,Valor Indisponível
Batom líquido,Roupas,94.78,14,Filial 1,Valor Indisponível
Lápis de sobrancelha,Eletrodomésticos,46.75,87,Filial 5,Valor Indisponível
Pó compacto,Roupas,22.13,78,Filial 6,Valor Indisponível
Base líquida,Eletrodomésticos,78.01,82,Filial 4,Valor Indisponível
Pó compacto,Eletrônicos,90.11,52,Filial 3,Valor Indisponível
Batom líquido,Eletrônicos,1.2,22,Filial 6,Valor Indisponível
Base líquida,Alimentos,98.35,58,Filial 10,Valor Indisponível
Base líquida,Eletrodomésticos,14.48,86,Filial 5,Valor Indisponível
Corretivo,Eletrônicos,37.37,98,Filial 2,Valor Indisponível
Sombra de olhos,Eletrônicos,50.97,73,Filial 1,Valor Indisponível
Máscara de cílios,Eletrodomésticos,36.2,98,Filial 1,Valor Indisponível
Batom matte,Eletrodomésticos,80.79,44,Filial 8,Valor Indisponível
Delineador líquido,Eletrônicos,61.19,42,Filial 9,Valor Indisponível
Blush em pó,Eletrônicos,67.38,62,Filial 2,Valor Indisponível
Pó compacto,Roupas,11.0,38,Filial 3,Valor Indisponível
Pó compacto,Eletrônicos,1.69,67,Filial 9,Valor Indisponível
Delineador líquido,Eletrônicos,54.35,5,Filial 5,Valor Indisponível
Pó compacto,Eletrodomésticos,89.04,40,Filial 2,Valor Indisponível
Lápis de sobrancelha,Eletrodomésticos,33.23,29,Filial 4,Valor Indisponível
Base líquida,Eletrodomésticos,51.18,99,Filial 4,Valor Indisponível
Batom matte,Roupas,81.12,71,Filial 7,Valor Indisponível
Base líquida,Eletrodomésticos,42.06,12,Filial 8,Valor Indisponível
Máscara de cílios,Eletrônicos,25.64,53,Filial 3,Valor Indisponível
Máscara de cílios,Eletrônicos,42.99,34,Filial 10,Valor Indisponível
Corretivo,Alimentos,90.76,65,Filial 7,Valor Indisponível
Máscara de cílios,Alimentos,14.13,83,Filial 1,Valor Indisponível
Sombra de olhos,Eletrônicos,65.25,60,Filial 6,Valor Indisponível
Máscara de cílios,Alimentos,70.23,25,Filial 2,Valor Indisponível
Blush em pó,Alimentos,91.16,41,Filial 7,Valor Indisponível
Máscara de cílios,Alimentos,98.6,98,Filial 5,Valor Indisponível
Sombra de olhos,Eletrodomésticos,26.44,61,Filial 1,Valor Indisponível
Batom líquido,Alimentos,3.84,71,Filial 10,Valor Indisponível
Blush em pó,Eletrodomésticos,25.89,10,Filial 7,Valor Indisponível
Blush em pó,Eletrodomésticos,29.28,52,Filial 8,Valor Indisponível
Batom líquido,Roupas,24.58,42,Filial 3,Valor Indisponível
Pó compacto,Roupas,48.82,23,Filial 8,Valor Indisponível
Pó compacto,Alimentos,9.2,81,Filial 2,Valor Indisponível
Base líquida,Alimentos,64.38,31,Filial 10,Valor Indisponível
Corretivo,Eletrônicos,48.36,86,Filial 5,Valor Indisponível
Base líquida,Eletrônicos,91.63,15,Filial 4,Valor Indisponível
Pó compacto,Eletrodomésticos,38.64,77,Filial 4,Valor Indisponível
Batom matte,Eletrodomésticos,59.62,12,Filial 6,Valor Indisponível
Batom matte,Eletrodomésticos,34.91,12,Filial 5,Valor Indisponível
Base líquida,Eletrônicos,89.65,82,Filial 5,Valor Indisponível
Pó compacto,Alimentos,32.15,16,Filial 6,Valor Indisponível
Batom matte,Eletrodomésticos,21.49,29,Filial 5,Valor Indisponível
Batom matte,Alimentos,51.42,52,Filial 7,Valor Indisponível
Lápis de sobrancelha,Alimentos,70.13,39,Filial 7,Valor Indisponível
Batom líquido,Eletrodomésticos,81.51,16,Filial 10,Valor Indisponível
Batom matte,Eletrodomésticos,53.11,70,Filial 4,Valor Indisponível
Sombra de olhos,Eletrônicos,3.97,45,Filial 8,Valor Indisponível
Batom líquido,Roupas,49.56,3,Filial 2,Valor Indisponível
Sombra de olhos,Eletrodomésticos,31.7,86,Filial 1,Valor Indisponível
Máscara de cílios,Eletrodomésticos,14.47,4,Filial 2,Valor Indisponível
Máscara de cílios,Roupas,14.61,79,Filial 2,Valor Indisponível
Lápis de sobrancelha,Eletrodomésticos,80.58,92,Filial 2,Valor Indisponível
Pó compacto,Roupas,5.41,94,Filial 2,Valor Indisponível
Blush em pó,Roupas,67.44,43,Filial 4,Valor Indisponível
Pó compacto,Alimentos,63.27,26,Filial 4,Valor Indisponível
Batom líquido,Roupas,4.8,86,Filial 7,Valor Indisponível
Batom líquido,Eletrodomésticos,32.21,39,Filial 9,Valor Indisponível
Lápis de sobrancelha,Eletrônicos,28.12,32,Filial 5,Valor Indisponível
Delineador líquido,Eletrodomésticos,54.04,40,Filial 9,Valor Indisponível
Blush em pó,Roupas,34.24,93,Filial 7,Valor Indisponível
Lápis de sobrancelha,Roupas,50.95,6,Filial 3,Valor Indisponível
Batom líquido,Alimentos,88.87,50,Filial 4,Valor Indisponível
Pó compacto,Eletrodomésticos,10.73,85,Filial 4,Valor Indisponível
Máscara de cílios,Roupas,69.04,99,Filial 5,Valor Indisponível
Blush em pó,Eletrodomésticos,67.5,64,Filial 7,Valor Indisponível
Lápis de sobrancelha,Eletrodomésticos,57.38,93,Filial 7,Valor Indisponível
Blush em pó,Eletrônicos,48.03,72,Filial 1,Valor Indisponível
Corretivo,Eletrônicos,70.15,81,Filial 5,Valor Indisponível
Batom líquido,Roupas,95.69,75,Filial 4,Valor Indisponível
Base líquida,Eletrônicos,76.86,53,Filial 1,Valor Indisponível
Batom matte,Roupas,66.98,34,Filial 2,Valor Indisponível
Delineador líquido,Eletrônicos,87.93,85,Filial 1,Valor Indisponível
Sombra de olhos,Roupas,71.65,82,Filial 1,Valor Indisponível
Corretivo,Roupas,1.85,49,Filial 4,Valor Indisponível
Sombra de olhos,Alimentos,55.49,86,Filial 3,Valor Indisponível
Lápis de sobrancelha,Roupas,95.77,47,Filial 9,Valor Indisponível
Corretivo,Roupas,27.44,63,Filial 5,Valor Indisponível
Delineador líquido,Alimentos,75.16,84,Filial 9,Valor Indisponível
Delineador líquido,Alimentos,36.79,35,Filial 6,Valor Indisponível
Máscara de cílios,Eletrônicos,28.57,10,Filial 3,Valor Indisponível
Máscara de cílios,Alimentos,23.9,49,Filial 8,Valor Indisponível
Base líquida,Alimentos,78.19,9,Filial 3,Valor Indisponível
Máscara de cílios,Roupas,92.16,35,Filial 10,Valor Indisponível
Máscara de cílios,Roupas,46.48,39,Filial 1,Valor Indisponível
Pó compacto,Eletrodomésticos,21.85,29,Filial 8,Valor Indisponível
Delineador líquido,Eletrônicos,65.36,6,Filial 10,Valor Indisponível
Base líquida,Roupas,42.81,17,Filial 5,Valor Indisponível
Pó compacto,Alimentos,18.09,13,Filial 8,Valor Indisponível
Lápis de sobrancelha,Eletrônicos,28.82,32,Filial 10,Valor Indisponível
Blush em pó,Eletrodomésticos,69.97,18,Filial 7,Valor Indisponível
Máscara de cílios,Alimentos,32.7,77,Filial 9,Valor Indisponível
Sombra de olhos,Eletrônicos,53.15,35,Filial 10,Valor Indisponível
Base líquida,Eletrônicos,71.77,27,Filial 5,Valor Indisponível
Máscara de cílios,Alimentos,73.5,43,Filial 2,Valor Indisponível
Corretivo,Alimentos,32.97,91,Filial 9,Valor Indisponível
Batom líquido,Alimentos,31.83,17,Filial 9,Valor Indisponível
Base líquida,Roupas,54.38,10,Filial 5,Valor Indisponível
Pó compacto,Alimentos,58.33,40,Filial 4,Valor Indisponível
Base líquida,Eletrodomésticos,66.71,76,Filial 10,Valor Indisponível
Lápis de sobrancelha,Roupas,16.95,42,Filial 6,Valor Indisponível
Máscara de cílios,Alimentos,7.36,86,Filial 9,Valor Indisponível
Delineador líquido,Alimentos,58.38,53,Filial 4,Valor Indisponível
Pó compacto,Eletrodomésticos,72.0,20,Filial 4,Valor Indisponível
Batom líquido,Eletrodomésticos,17.18,8,Filial 6,Valor Indisponível
Sombra de olhos,Alimentos,91.7,83,Filial 9,Valor Indisponível
Batom líquido,Alimentos,96.47,39,Filial 6,Valor Indisponível
Delineador líquido,Roupas,71.91,99,Filial 4,Valor Indisponível
Corretivo,Alimentos,18.48,63,Filial 9,Valor Indisponível
Máscara de cílios,Eletrodomésticos,53.84,65,Filial 5,Valor Indisponível
Blush em pó,Alimentos,57.96,85,Filial 7,Valor Indisponível
Pó compacto,Alimentos,58.38,41,Filial 5,Valor Indisponível
Batom matte,Alimentos,55.27,57,Filial 8,Valor Indisponível
Base líquida,Alimentos,15.11,30,Filial 1,Valor Indisponível
Delineador líquido,Eletrônicos,3.59,33,Filial 10,Valor Indisponível
Lápis de sobrancelha,Roupas,24.02,31,Filial 1,Valor Indisponível
Base líquida,Eletrônicos,24.87,39,Filial 2,Valor Indisponível
Sombra de olhos,Eletrodomésticos,5.79,64,Filial 10,Valor Indisponível
Corretivo,Eletrodomésticos,7.99,19,Filial 8,Valor Indisponível
Batom matte,Alimentos,56.23,46,Filial 5,Valor Indisponível
Delineador líquido,Eletrônicos,54.43,28,Filial 8,Valor Indisponível
Lápis de sobrancelha,Alimentos,85.74,90,Filial 7,Valor Indisponível
Batom matte,Eletrônicos,21.03,61,Filial 4,Valor Indisponível
Delineador líquido,Eletrodomésticos,70.25,65,Filial 6,Valor Indisponível
Batom líquido,Eletrônicos,4.58,93,Filial 7,Valor Indisponível
Batom líquido,Roupas,11.28,85,Filial 6,Valor Indisponível
Batom líquido,Alimentos,76.44,78,Filial 10,Valor Indisponível
Batom matte,Alimentos,83.86,70,Filial 6,Valor Indisponível
Blush em pó,Eletrônicos,62.93,77,Filial 1,Valor Indisponível
Corretivo,Alimentos,36.87,5,Filial 6,Valor Indisponível
Lápis de sobrancelha,Eletrônicos,95.76,76,Filial 7,Valor Indisponível
Batom líquido,Eletrônicos,30.25,18,Filial 3,Valor Indisponível
Lápis de sobrancelha,Eletrodomésticos,7.11,48,Filial 5,Valor Indisponível
Delineador líquido,Eletrodomésticos,61.41,88,Filial 4,Valor Indisponível
Máscara de cílios,Eletrodomésticos,71.81,70,Filial 6,Valor Indisponível
Máscara de cílios,Roupas,88.18,28,Filial 5,Valor Indisponível
Batom matte,Alimentos,85.28,78,Filial 8,Valor Indisponível
Corretivo,Alimentos,36.89,45,Filial 8,Valor Indisponível
Batom líquido,Roupas,28.46,83,Filial 4,Valor Indisponível
Corretivo,Alimentos,8.22,97,Filial 4,Valor Indisponível
Base líquida,Eletrodomésticos,24.08,84,Filial 10,Valor Indisponível
Blush em pó,Eletrônicos,9.06,25,Filial 10,Valor Indisponível
Batom líquido,Alimentos,19.23,68,Filial 10,Valor Indisponível
Batom matte,Eletrodomésticos,47.09,93,Filial 10,Valor Indisponível
Lápis de sobrancelha,Roupas,44.97,76,Filial 7,Valor Indisponível
Base líquida,Alimentos,13.68,52,Filial 5,Valor Indisponível
Máscara de cílios,Eletrodomésticos,41.71,88,Filial 8,Valor Indisponível
Delineador líquido,Eletrônicos,63.62,14,Filial 8,Valor Indisponível
Blush em pó,Alimentos,54.43,26,Filial 1,Valor Indisponível
Blush em pó,Roupas,16.82,9,Filial 10,Valor Indisponível
Base líquida,Roupas,59.46,6,Filial 10,Valor Indisponível
Base líquida,Eletrônicos,69.78,30,Filial 9,Valor Indisponível
Corretivo,Alimentos,72.97,74,Filial 6,Valor Indisponível
Base líquida,Alimentos,45.95,16,Filial 1,Valor Indisponível
Delineador líquido,Roupas,67.65,22,Filial 8,Valor Indisponível
Batom matte,Eletrodomésticos,57.19,50,Filial 4,Valor Indisponível
Blush em pó,Alimentos,71.19,84,Filial 7,Valor Indisponível
Pó compacto,Eletrodomésticos,33.18,67,Filial 3,Valor Indisponível
Batom líquido,Roupas,77.2,65,Filial 10,Valor Indisponível
Blush em pó,Roupas,73.63,13,Filial 4,Valor Indisponível
Blush em pó,Eletrônicos,92.41,63,Filial 6,Valor Indisponível
Base líquida,Alimentos,72.93,11,Filial 8,Valor Indisponível
Corretivo,Eletrodomésticos,67.21,86,Filial 3,Valor Indisponível
Corretivo,Roupas,34.61,70,Filial 7,Valor Indisponível
Máscara de cílios,Roupas,32.79,21,Filial 5,Valor Indisponível
Corretivo,Eletrônicos,79.34,67,Filial 6,Valor Indisponível
Sombra de olhos,Alimentos,68.92,50,Filial 4,Valor Indisponível
Batom matte,Eletrônicos,16.21,14,Filial 6,Valor Indisponível
Blush em pó,Eletrônicos,9.7,37,Filial 2,Valor Indisponível
Batom líquido,Eletrodomésticos,82.22,33,Filial 6,Valor Indisponível
Sombra de olhos,Eletrodomésticos,65.57,57,Filial 10,Valor Indisponível
Lápis de sobrancelha,Alimentos,53.94,96,Filial 8,Valor Indisponível
Corretivo,Roupas,24.38,56,Filial 8,Valor Indisponível
Corretivo,Alimentos,26.15,56,Filial 10,Valor Indisponível
Lápis de sobrancelha,Eletrodomésticos,44.22,92,Filial 3,Valor Indisponível
Sombra de olhos,Eletrodomésticos,31.85,24,Filial 9,Valor Indisponível
Base líquida,Roupas,70.29,20,Filial 1,Valor Indisponível
Pó compacto,Alimentos,53.54,80,Filial 6,Valor Indisponível
Blush em pó,Eletrodomésticos,68.22,11,Filial 2,Valor Indisponível
Batom matte,Eletrodomésticos,93.2,73,Filial 9,Valor Indisponível
Delineador líquido,Roupas,20.78,89,Filial 9,Valor Indisponível
Máscara de cílios,Alimentos,7.28,72,Filial 2,Valor Indisponível
Delineador líquido,Roupas,84.75,69,Filial 3,Valor Indisponível
Blush em pó,Eletrodomésticos,19.7,74,Filial 1,Valor Indisponível
Batom líquido,Eletrônicos,17.68,2,Filial 4,Valor Indisponível
Lápis de sobrancelha,Alimentos,76.56,66,Filial 2,Valor Indisponível
Pó compacto,Eletrônicos,28.0,1,Filial 5,Valor Indisponível
Delineador líquido,Eletrodomésticos,44.42,73,Filial 6,Valor Indisponível
Blush em pó,Alimentos,89.74,9,Filial 4,Valor Indisponível
Sombra de olhos,Alimentos,89.88,92,Filial 6,Valor Indisponível
Corretivo,Eletrodomésticos,15.4,25,Filial 1,Valor Indisponível
Batom matte,Eletrodomésticos,3.05,83,Filial 1,Valor Indisponível
Delineador líquido,Roupas,43.02,30,Filial 8,Valor Indisponível
Lápis de sobrancelha,Eletrodomésticos,39.21,38,Filial 6,Valor Indisponível
Batom matte,Alimentos,61.82,96,Filial 3,Valor Indisponível
Blush em pó,Roupas,55.76,51,Filial 5,Valor Indisponível
Corretivo,Roupas,9.73,14,Filial 4,Valor Indisponível
Lápis de sobrancelha,Roupas,61.57,61,Filial 10,Valor Indisponível
Delineador líquido,Eletrônicos,75.93,39,Filial 1,Valor Indisponível
Lápis de sobrancelha,Eletrônicos,97.32,74,Filial 10,Valor Indisponível
Pó compacto,Eletrodomésticos,26.08,25,Filial 4,Valor Indisponível
Delineador líquido,Alimentos,84.83,88,Filial 4,Valor Indisponível
Delineador líquido,Alimentos,29.56,62,Filial 5,Valor Indisponível
Máscara de cílios,Eletrônicos,69.03,30,Filial 5,Valor Indisponível
Lápis de sobrancelha,Eletrodomésticos,69.55,3,Filial 1,Valor Indisponível
Sombra de olhos,Eletrônicos,42.89,67,Filial 6,Valor Indisponível
Corretivo,Eletrônicos,13.18,67,Filial 3,Valor Indisponível
Sombra de olhos,Eletrônicos,71.6,24,Filial 4,Valor Indisponível
Corretivo,Eletrodomésticos,54.92,50,Filial 10,Valor Indisponível
Lápis de sobrancelha,Eletrodomésticos,66.37,13,Filial 10,Valor Indisponível
Batom líquido,Eletrônicos,48.64,60,Filial 7,Valor Indisponível
Blush em pó,Eletrodomésticos,3.34,84,Filial 9,Valor Indisponível
Blush em pó,Eletrônicos,41.44,2,Filial 1,Valor Indisponível
Máscara de cílios,Alimentos,80.05,81,Filial 7,Valor Indisponível
Corretivo,Roupas,5.85,34,Filial 8,Valor Indisponível
Lápis de sobrancelha,Eletrodomésticos,74.41,29,Filial 6,Valor Indisponível
Batom matte,Alimentos,16.82,61,Filial 6,Valor Indisponível
Batom matte,Eletrodomésticos,75.16,51,Filial 10,Valor Indisponível
Corretivo,Eletrodomésticos,82.46,36,Filial 1,Valor Indisponível
Blush em pó,Roupas,17.11,74,Filial 3,Valor Indisponível
Base líquida,Roupas,52.85,55,Filial 9,Valor Indisponível
Delineador líquido,Eletrônicos,21.95,2,Filial 3,Valor Indisponível
Máscara de cílios,Alimentos,77.94,57,Filial 2,Valor Indisponível
Máscara de cílios,Alimentos,74.08,84,Filial 2,Valor Indisponível
Lápis de sobrancelha,Eletrodomésticos,30.88,89,Filial 10,Valor Indisponível
Lápis de sobrancelha,Alimentos,56.83,17,Filial 5,Valor Indisponível
Lápis de sobrancelha,Alimentos,28.48,98,Filial 8,Valor Indisponível
Delineador líquido,Eletrônicos,32.08,55,Filial 4,Valor Indisponível
Base líquida,Roupas,53.35,20,Filial 2,Valor Indisponível
Delineador líquido,Alimentos,12.87,64,Filial 9,Valor Indisponível
Lápis de sobrancelha,Alimentos,91.79,49,Filial 2,Valor Indisponível
Batom líquido,Roupas,32.46,70,Filial 8,Valor Indisponível
Pó compacto,Alimentos,10.31,81,Filial 10,Valor Indisponível
Batom matte,Roupas,57.86,50,Filial 9,Valor Indisponível
Corretivo,Roupas,42.34,23,Filial 10,Valor Indisponível
Base líquida,Eletrodomésticos,80.15,73,Filial 10,Valor Indisponível
Sombra de olhos,Eletrônicos,97.17,74,Filial 6,Valor Indisponível
Sombra de olhos,Alimentos,19.25,83,Filial 3,Valor Indisponível
Delineador líquido,Eletrodomésticos,59.79,73,Filial 9,Valor Indisponível
Pó compacto,Eletrônicos,21.38,72,Filial 4,Valor Indisponível
Blush em pó,Eletrodomésticos,37.03,81,Filial 3,Valor Indisponível
Base líquida,Alimentos,64.19,6,Filial 10,Valor Indisponível
Blush em pó,Roupas,56.95,74,Filial 10,Valor Indisponível
Corretivo,Eletrônicos,80.93,75,Filial 7,Valor Indisponível
Pó compacto,Alimentos,83.98,65,Filial 2,Valor Indisponível
Lápis de sobrancelha,Roupas,60.52,5,Filial 5,Valor Indisponível
Pó compacto,Eletrônicos,97.87,53,Filial 9,Valor Indisponível
Base líquida,Roupas,20.69,94,Filial 6,Valor Indisponível
Batom matte,Eletrodomésticos,46.28,63,Filial 3,Valor Indisponível
Blush em pó,Roupas,21.04,23,Filial 8,Valor Indisponível
Delineador líquido,Roupas,44.34,67,Filial 6,Valor Indisponível
Lápis de sobrancelha,Roupas,67.04,23,Filial 1,Valor Indisponível
Lápis de sobrancelha,Eletrodomésticos,14.3,8,Filial 9,Valor Indisponível
Pó compacto,Eletrônicos,7.96,52,Filial 7,Valor Indisponível
Blush em pó,Roupas,89.7,84,Filial 8,Valor Indisponível
Batom líquido,Roupas,40.85,50,Filial 8,Valor Indisponível
Batom matte,Eletrônicos,38.67,69,Filial 10,Valor Indisponível
Pó compacto,Alimentos,25.73,62,Filial 2,Valor Indisponível
Base líquida,Roupas,63.5,78,Filial 7,Valor Indisponível
Pó compacto,Roupas,90.18,56,Filial 10,Valor Indisponível
Corretivo,Eletrodomésticos,46.38,24,Filial 10,Valor Indisponível
Máscara de cílios,Eletrônicos,57.55,2,Filial 5,Valor Indisponível
Batom líquido,Eletrodomésticos,51.17,60,Filial 5,Valor Indisponível
Batom líquido,Roupas,66.77,91,Filial 4,Valor Indisponível
Sombra de olhos,Eletrodomésticos,19.98,47,Filial 9,Valor Indisponível
Blush em pó,Eletrodomésticos,13.23,87,Filial 1,Valor Indisponível
Máscara de cílios,Roupas,90.06,49,Filial 5,Valor Indisponível
Blush em pó,Alimentos,5.12,2,Filial 2,Valor Indisponível
Pó compacto,Alimentos,4.15,77,Filial 4,Valor Indisponível
Batom matte,Roupas,63.64,73,Filial 9,Valor Indisponível
Base líquida,Eletrônicos,36.43,64,Filial 9,Valor Indisponível
Batom matte,Eletrodomésticos,34.69,1,Filial 7,Valor Indisponível
Pó compacto,Alimentos,26.39,54,Filial 7,Valor Indisponível
Lápis de sobrancelha,Alimentos,49.52,93,Filial 2,Valor Indisponível
Base líquida,Alimentos,13.11,42,Filial 6,Valor Indisponível
Sombra de olhos,Alimentos,23.43,91,Filial 4,Valor Indisponível
Batom matte,Eletrônicos,25.8,24,Filial 9,Valor Indisponível
Batom líquido,Roupas,83.23,65,Filial 5,Valor Indisponível
Delineador líquido,Alimentos,66.5,17,Filial 3,Valor Indisponível
Base líquida,Alimentos,82.56,85,Filial 10,Valor Indisponível
Máscara de cílios,Eletrônicos,6.81,51,Filial 5,Valor Indisponível
Pó compacto,Roupas,20.04,62,Filial 6,Valor Indisponível
Blush em pó,Eletrodomésticos,94.79,37,Filial 10,Valor Indisponível
Sombra de olhos,Alimentos,64.47,85,Filial 4,Valor Indisponível
Lápis de sobrancelha,Eletrodomésticos,39.25,17,Filial 1,Valor Indisponível
Corretivo,Eletrônicos,79.51,36,Filial 7,Valor Indisponível
Base líquida,Eletrônicos,17.29,73,Filial 7,Valor Indisponível
Delineador líquido,Alimentos,26.04,82,Filial 6,Valor Indisponível
Lápis de sobrancelha,Eletrônicos,47.93,55,Filial 10,Valor Indisponível
Batom matte,Eletrodomésticos,68.86,79,Filial 8,Valor Indisponível
Blush em pó,Alimentos,19.68,40,Filial 2,Valor Indisponível
Base líquida,Eletrodomésticos,6.59,69,Filial 5,Valor Indisponível
Corretivo,Roupas,38.96,54,Filial 2,Valor Indisponível
Sombra de olhos,Roupas,6.41,75,Filial 4,Valor Indisponível
Máscara de cílios,Eletrônicos,36.43,100,Filial 8,Valor Indisponível
Sombra de olhos,Eletrônicos,13.17,25,Filial 7,Valor Indisponível
Corretivo,Roupas,20.19,65,Filial 10,Valor Indisponível
Batom líquido,Roupas,78.18,86,Filial 4,Valor Indisponível
Base líquida,Roupas,53.04,18,Filial 3,Valor Indisponível
Máscara de cílios,Eletrônicos,43.27,9,Filial 5,Valor Indisponível
Blush em pó,Eletrodomésticos,9.16,39,Filial 2,Valor Indisponível
Corretivo,Eletrônicos,15.12,59,Filial 8,Valor Indisponível
Máscara de cílios,Eletrônicos,52.08,42,Filial 3,Valor Indisponível
Delineador líquido,Eletrônicos,47.07,75,Filial 3,Valor Indisponível
Lápis de sobrancelha,Eletrodomésticos,79.44,56,Filial 1,Valor Indisponível
Lápis de sobrancelha,Roupas,6.88,62,Filial 5,Valor Indisponível
Máscara de cílios,Eletrodomésticos,79.54,82,Filial 10,Valor Indisponível
Base líquida,Alimentos,32.25,30,Filial 1,Valor Indisponível
Máscara de cílios,Alimentos,7.95,3,Filial 1,Valor Indisponível
Sombra de olhos,Roupas,56.82,40,Filial 7,Valor Indisponível
Corretivo,Eletrônicos,50.21,46,Filial 6,Valor Indisponível
Blush em pó,Eletrodomésticos,42.61,4,Filial 8,Valor Indisponível
Batom matte,Eletrônicos,35.14,18,Filial 2,Valor Indisponível
Pó compacto,Alimentos,34.58,60,Filial 4,Valor Indisponível
Lápis de sobrancelha,Roupas,13.41,40,Filial 6,Valor Indisponível
Sombra de olhos,Alimentos,95.82,98,Filial 8,Valor Indisponível
Base líquida,Eletrodomésticos,18.22,66,Filial 2,Valor Indisponível
Batom matte,Eletrônicos,65.93,25,Filial 5,Valor Indisponível
Batom líquido,Alimentos,90.86,56,Filial 3,Valor Indisponível
Delineador líquido,Alimentos,35.42,100,Filial 8,Valor Indisponível
Máscara de cílios,Roupas,9.48,65,Filial 1,Valor Indisponível
Máscara de cílios,Alimentos,75.95,19,Filial 6,Valor Indisponível
Lápis de sobrancelha,Eletrodomésticos,36.32,40,Filial 1,Valor Indisponível
Base líquida,Eletrônicos,61.91,13,Filial 8,Valor Indisponível
Sombra de olhos,Eletrodomésticos,49.19,17,Filial 7,Valor Indisponível
Blush em pó,Alimentos,96.51,30,Filial 1,Valor Indisponível
Base líquida,Roupas,97.32,60,Filial 1,Valor Indisponível
Blush em pó,Roupas,10.18,63,Filial 7,Valor Indisponível
Lápis de sobrancelha,Alimentos,38.56,44,Filial 5,Valor Indisponível
Batom matte,Eletrodomésticos,32.38,22,Filial 2,Valor Indisponível
Delineador líquido,Eletrodomésticos,68.61,50,Filial 3,Valor Indisponível
Batom matte,Eletrodomésticos,54.35,41,Filial 1,Valor Indisponível
Base líquida,Eletrônicos,76.32,94,Filial 10,Valor Indisponível
Corretivo,Alimentos,20.19,19,Filial 1,Valor Indisponível
Sombra de olhos,Eletrodomésticos,44.74,97,Filial 1,Valor Indisponível
Blush em pó,Roupas,29.14,31,Filial 3,Valor Indisponível
Delineador líquido,Eletrodomésticos,86.69,40,Filial 1,Valor Indisponível
Batom matte,Roupas,93.73,75,Filial 8,Valor Indisponível
Lápis de sobrancelha,Roupas,48.51,18,Filial 3,Valor Indisponível
Sombra de olhos,Eletrodomésticos,83.1,73,Filial 8,Valor Indisponível
Base líquida,Roupas,6.64,89,Filial 10,Valor Indisponível
Lápis de sobrancelha,Alimentos,71.78,92,Filial 9,Valor Indisponível
Batom líquido,Eletrodomésticos,54.07,93,Filial 10,Valor Indisponível
Delineador líquido,Roupas,8.43,47,Filial 8,Valor Indisponível
Pó compacto,Eletrodomésticos,53.2,77,Filial 8,Valor Indisponível
Blush em pó,Roupas,25.23,84,Filial 9,Valor Indisponível
Delineador líquido,Alimentos,86.28,47,Filial 10,Valor Indisponível
Blush em pó,Eletrônicos,48.8,3,Filial 4,Valor Indisponível
Corretivo,Eletrodomésticos,95.9,24,Filial 2,Valor Indisponível
Blush em pó,Eletrônicos,15.08,90,Filial 3,Valor Indisponível
Corretivo,Roupas,78.02,38,Filial 3,Valor Indisponível
Máscara de cílios,Roupas,1.03,65,Filial 7,Valor Indisponível
Base líquida,Eletrônicos,22.4,28,Filial 7,Valor Indisponível
Delineador líquido,Roupas,14.18,94,Filial 2,Valor Indisponível
